S no.,Name ,Latitude,Longitude,0
1,Bilaspur bus stand,31.36484841157761,76.7572757092952,0
2,Local Bus Terminal Bilaspur,31.357812474091837,76.76002229125356,0
3,Forest Chownk Bus Stop Shamshi,31.89029353623713,77.14185204775332,0	
4,Brahampukhar Bus Stop,31.299159190584888,76.81358063944165,0
5,Boileauganj Bus Stop,31.12062905878692, 77.13355743759095,0
6,BUS STOP TAMBOL,31.26629739381229, 76.75864900027439,0
7,Bus Stand Chandimandir Shopping Complex,30.737854111553283,76.86367075598564,0
8,Swarghat Bus Stop,31.257545978481186,76.84903801782052,0
9,Rajpura Khas Bus Stop,31.30918559392296,76.84079827194539,0
10,Bus Stop Baner,31.263415540621352,76.84354485390375,0
11,Kotla Bus Stop,31.29627834146008,76.85315789075804,0
12,Kothi Bus Stop,31.180033564643285,77.10035026701071,0
13,Panjpiri Bus Stop,31.26106775956858,76.81195916138259,0
14,Gambrola Bus Stop,31.306838952261256,76.82706536215358,0
15,Kallar Bus Stop,31.29158435677235,76.84354485390375,0
16,Inter State Bus Terminus,31.119427198114206,77.23599712452834,0
17,Namhol Bus Stop,31.28857156095457,76.85559552329505,0
18,Panjel Kalan Bus Stop,31.278862802892498,76.86235166492854,0
19,Shimla Old Bus Stand,31.107209482048436,77.16845201604679,0
20,Bhanupali Bus Stop,31.32669869068491,76.46471759904541,0
21,Bilaspur bus stop,30.466543162789623,77.04516782892318,0
22,New bus stand chamba,32.55841918637347,76.12363612859548,0
23,old bus stand & paid parking,32.28734912,76.13067424486377,0
24,Local Bus Stop,32.52798137350912,76.15149803329864,0
